Object,Affordances
bevel,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
bill,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
binder,"{1: ('grasp', 1.0)}"
bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
blade,"{1: ('cut', 1.25), 2: ('slit', 1.25), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75)}"
blind,"{1: ('illuminate', 1.0)}"
block plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
blunt file,"{1: ('grasp', 0.75), 2: ('beautify', 0.75), 3: ('change', 0.75), 4: ('file', 0.75), 5: ('fix', 0.75), 6: ('hold', 0.75), 7: ('polish', 0.75), 8: ('repair', 0.75)}"
bodkin,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('pierce', 0.75), 6: ('repair', 0.75)}"
bolo,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
bolt cutter,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('skin', 0.75)}"
book,"{1: ('read', 1.5), 2: ('pick', 1.0), 3: ('contain', 0.75)}"
boot,"{1: ('pick', 1.0)}"
bore bit,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
bottle,"{1: ('carry', 1.5), 2: ('break', 1.0), 3: ('contain', 1.0), 4: ('pick', 1.0)}"
bottle opener,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
bowie knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
bowl,"{1: ('contain', 2.0), 2: ('wrap', 1.0), 3: ('carry', 1.0), 4: ('be heated', 1.0), 5: ('break', 1.0), 6: ('pick', 1.0), 7: ('support', 0.68)}"
box,"{1: ('store', 1.0), 2: ('contain', 1.0), 3: ('pick', 1.0)}"
box wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
brace and bit,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
brace wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
bradawl,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('pierce', 0.75), 7: ('repair', 0.75)}"
bread,"{1: ('eat', 1.5), 2: ('cut', 1.0), 3: ('pick', 1.0)}"
bread knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
breadknife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
break seal,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('repair', 0.75)}"
breast drill,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
brick trowel,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('scoop', 0.75), 7: ('spread', 0.75)}"
bricklayer's hammer,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
broad hatchet,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
broadax,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
bucksaw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
buffer,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('clean', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('handle', 0.75), 7: ('install', 0.75), 8: ('operate', 0.75), 9: ('plug', 0.75), 10: ('repair', 0.75), 11: ('wash', 0.75)}"
bull tongue,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('plow', 0.75), 4: ('repair', 0.75)}"
bulldog wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
bullnose,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
bumper jack,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('control', 0.75), 4: ('fix', 0.75), 5: ('handle', 0.75), 6: ('lift', 0.75), 7: ('operate', 0.75), 8: ('repair', 0.75)}"
bur,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
burin,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
burr,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('clean', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('handle', 0.75), 7: ('install', 0.75), 8: ('operate', 0.75), 9: ('plug', 0.75), 10: ('repair', 0.75), 11: ('wash', 0.75)}"
butcher knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
butter knife,"{1: ('cut', 1.75), 2: ('mix', 1.0), 3: ('break', 1.0), 4: ('grasp', 0.75), 5: ('carve', 0.75), 6: ('change', 0.75), 7: ('clean', 0.75), 8: ('crack', 0.75), 9: ('cube', 0.75), 10: ('dice', 0.75), 11: ('fix', 0.75), 12: ('hold', 0.75), 13: ('peel', 0.75), 14: ('pick', 0.75), 15: ('repair', 0.75), 16: ('rub', 0.75), 17: ('separate', 0.75), 18: ('skin', 0.75), 19: ('spread', 0.75), 20: ('contain', 0.75), 21: ('wipe', 0.75)}"
butterknife,"{1: ('pick', 1.0)}"
c d,"{1: ('entertain', 1.0)}"
cabinet,"{1: ('store', 1.5), 2: ('contain', 1.0), 3: ('break', 1.0)}"
calculator,"{1: ('grasp', 1.0), 2: ('display', 1.0)}"
camera,"{1: ('grasp', 1.0)}"
can opener,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
candle,"{1: ('decorate', 1.5), 2: ('heat', 1.0), 3: ('illuminate', 1.0), 4: ('operate', 1.0), 5: ('pick', 1.0)}"
cap,"{1: ('grasp', 1.0)}"
cap opener,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
carpenter's hammer,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
carpenter's mallet,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
carpenter's square,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
carriage wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
carving knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
case knife,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('carve', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('crack', 0.75), 7: ('cube', 0.75), 8: ('dice', 0.75), 9: ('fix', 0.75), 10: ('hold', 0.75), 11: ('peel', 0.75), 12: ('pick', 0.75), 13: ('repair', 0.75), 14: ('rub', 0.75), 15: ('separate', 0.75), 16: ('skin', 0.75), 17: ('spread', 0.75), 18: ('contain', 0.75), 19: ('wipe', 0.75)}"
catling,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
cd,"{1: ('pick', 1.0)}"
cell phone,"{1: ('grasp', 1.0), 2: ('display', 1.0), 3: ('entertain', 1.0), 4: ('read', 1.0), 5: ('time', 1.0), 6: ('write', 1.0)}"
cellphone,"{1: ('operate', 1.0), 2: ('break', 1.0), 3: ('pick', 1.0)}"
center bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
center punch,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('pierce', 0.75), 4: ('repair', 0.75)}"
cereal box,"{1: ('grasp', 1.0)}"
chain saw,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
chain tong,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
chain wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
chair,"{1: ('comfort', 1.0), 2: ('increase', 1.0), 3: ('support', 1.0), 4: ('contain', 1.0)}"
chamfer bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
chamfer plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
chisel,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
church key,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
cigar cutter,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('skin', 0.75)}"
circular plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
circular saw,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
clasp knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
claw hatchet,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
cleaver,"{1: ('cut', 1.25), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
clincher,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
clipper,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('peel', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
cloth,"{1: ('clean', 1.5), 2: ('pick', 1.0)}"
coal shovel,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
coffee,"{1: ('eat', 1.0)}"
coffee machine,"{1: ('heat', 1.0)}"
coffee mug,"{1: ('grasp', 1.0), 2: ('wrap', 1.0), 3: ('contain', 1.0), 4: ('pour', 1.0)}"
coffee table,"{1: ('increase', 1.0), 2: ('support', 1.0)}"
coffeemachine,"{1: ('contain', 1.0), 2: ('operate', 1.0), 3: ('heat', 1.0), 4: ('break', 1.0)}"
coffeetable,"{1: ('contain', 1.0)}"
cold chisel,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
comb,"{1: ('grasp', 1.0), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75)}"
combination plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
common ax,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
compass saw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
coping saw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
core bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
core drill,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
corkscrew,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
counter top,"{1: ('increase', 1.0), 2: ('support', 1.0)}"
counterbore,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
countertop,"{1: ('contain', 1.0)}"
crampon,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
crank,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
crank handle,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
creditcard,"{1: ('pick', 1.0)}"
cross bit,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
crosscut saw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
croupier's rake,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('pick', 0.75), 4: ('repair', 0.75)}"
crown saw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
cup,"{1: ('contain', 1.0), 2: ('carry', 1.0), 3: ('be heated', 1.0), 4: ('break', 1.0), 5: ('pick', 1.0), 6: ('support', 0.75)}"
curtain,"{1: ('illuminate', 1.0), 2: ('decorate', 1.0)}"
cutter,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('skin', 0.75)}"
cutting implement,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
cuttingtool,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
dado plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
dagger,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
dentist's drill,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
designedspade,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
desk,"{1: ('store', 1.0), 2: ('increase', 1.0), 3: ('support', 1.0), 4: ('contain', 1.0)}"
desk lamp,"{1: ('illuminate', 1.0)}"
desklamp,"{1: ('operate', 1.0)}"
desktop,"{1: ('entertain', 1.0), 2: ('read', 1.0), 3: ('write', 1.0), 4: ('operate', 1.0), 5: ('break', 1.0)}"
