Object,Correct_Location,Wrong_Locations
breakfast,table,"['cradle', 'aquarium', 'exercise room', ""prostitute's bedroom""]"
broccoli,oven,"['basement', 'jar', 'bowl', 'cellar']"
broiler,oven,"['trunk', ""children's room"", 'chamber', 'chamber']"
broom,cabinet,"['childs room', 'tin', 'most rooms', 'aquarium']"
bug,garden,"['drawer', 'living room', 'dimly lit room', 'closet']"
bulb,lamp,"['sack', 'motorbike', 'wallet', 'pan']"
bullet,chamber,"['can', 'castle', 'cup', 'bundle']"
bumper,car,"['anor room', 'classroom', 'dishwasher', 'pocket']"
bun,breadbox,"['stove', 'jacket', 'loft', 'wallet']"
bundt pan,childs room,"['cup', 'microwave', 'freezer', 'basket']"
bureau,bedroom,"['case', 'middle of  room', 'ballroom', 'bar']"
burner,oven,"['floor', 'hamper', 'bookshelf', 'microwave']"
butter dish,bathroom,"['bathroom and kitchen', 'barrel', 'pot', 'dwelling']"
butterknife,kitchen,"['hotel room', 'washer', 'loft', 'tin']"
cabbage,plate,"['wardrobe', ""prostitute's bedroom"", 'dining room', 'cabin']"
cabinet,kitchen,"['livin room', 'pot', 'ballroom', 'home']"
cake mix,dining room,"['car', 'box', 'head', 'container']"
cake pan,dining room,"['band room', 'bathtub', 'pitcher', 'pantry']"
calender,desk,"['childs room', 'dining room', 'backpack', 'oven']"
camera,closet,"['aquarium', 'one room flat', 'bowl', 'refrigerator']"
camper,camp,"['trunk', 'belfry', 'livingroom', 'chest']"
can opener,utility room,"['apartment', 'garbage', 'spoon', 'hall']"
candelabra,table,"['guest room', 'different room', 'apartment', 'chamber']"
candle,living room,"['place', 'beehive', 'bathtub', 'package']"
candle holder,exercise room,"['hamper', 'lamp', 'floor', 'bathtub']"
candlestick,table,"['basket', 'bicycle', 'case', 'sofa']"
candy,corridor,"['schoolroom', 'trunk', 'bay', 'keg']"
candy bar,television room,"['laundry room', 'barrel', 'stove', 'desk']"
canister,corridor,"['boat', 'backyard', 'box', 'dwelling']"
canteen,backpack,"['utility room', 'pantry', 'jar', ""teenager's bedroom""]"
canvas,art classroom,"['wardrobe', 'pitcher', 'storage room', 'laundry room']"
cap,suitcase,"['machine', 'playroom', 'shell', 'dwelling']"
carburettor,car,"[""person's living room"", 'hall', 'pitcher', 'wardrobe']"
card,box,"['utility room', 'aquarium', 'pitcher', 'foyer']"
card game,closet,"['microwave', 'spoon', 'container', 'jar']"
carpeting,bed,"['bicycle', 'independant room', 'belfry', 'dining room']"
carrot,refrigerator,"['bathtub', 'automobile', 'storage room', 'motel room']"
carrying case,bedroom,"['hamper', 'cellar', 'hatbox', 'delivery room']"
case,court,"['shoe', 'home', 'bedroom', 'shelf']"
casserole dish,bedroom,"['washer', 'cabinet', 'pot', 'livin room']"
cauliflower,oven,"['corridor', 'ir rooms', 'living rooms', 'dumpster']"
cd,cabinet,"['cradle', 'schoolroom', 'chest', 'barrel']"
celery,refrigerator,"['attic', 'machine', 'sedan', 'handbag']"
cellar,castle,"['aquarium', 'television room', 'card room', 'head']"
cellphone,bedroom,"['can', 'utility room', 'bright room', ""prostitute's bedroom""]"
centerpiece,table,"['hotel room', 'closet', 'mailbox', 'bathroom and kitchen']"
cereal,shelf,"['deck', 'spoon', 'packet', 'dungeon']"
chain,bedroom,"['room', 'wallet', 'shelf', 'safe']"
chair,kitchen,"[""person's living room"", 'dishwasher', 'range', 'sedan']"
chalk,classroom,"['every room', 'hamper', 'bookshelf', 'bathroom drawer']"
chalkboard,classroom,"['cradle', 'stand', 'house', 'chest']"
check,bank,"['bowl', ""person's living room"", 'car', 'nest']"
cheese,refrigerator,"['bag', 'well', 'container', 'grand ballroom']"
chesterfield,foyer,"['deck', 'different room', 'plate', 'cabin']"
chicken,oven,"['family room', 'apartment', 'case', 'cellar']"
chickpea,oven,"['stove', 'camp', 'bathroom and kitchen', 'garbage']"
china,cabinet,"['livingroom', 'music room', 'pocket', 'microwave']"
chip,pot,"['living room', ""teenager's bedroom"", 'corridor', 'middle of  room']"
chocolate,closet,"['bathroom or kitchen', 'safe', 'boot', ""person's living room""]"
chocolate box,corridor,"['microwave', 'sink', 'one room flat', 'purse']"
chocolate milk pods,utility room,"['drawer', 'chamber', 'car', 'truck']"
chocolate powder,utility room,"['can', 'sack', 'oven', 'boat']"
chopping board,exercise room,"['counter', 'deck', ""men's restroom"", 'independant room']"
cinnamon,kitchen,"['cellar', 'pod', 'trunk', 'belfry']"
clamp,pantry room,"['pantry', 'dimly lit room', ""men's restroom"", 'classroom']"
clay,lobby,"['home', 'icebox', 'plate', 'hospital drug storeroom']"
clipboard,classroom,"['home', 'one room flat', 'cubicle', 'press']"
clock,home office,"['lamp', 'plate', 'foyer', 'pan']"
closet,house,"['belfry', 'spoon', 'grand ballroom', 'independant room']"
cloth,childs room,"['foyer', 'trunk', 'foyer', 'bunk']"
clothing,floor,"['range', 'ambulance', 'box', 'nest']"
coaster,desk,"['bath', ""teenager's bedroom"", 'stove', 'garden']"
coat,closet,"['press', 'barrel', 'bookshelf', 'bus']"
coating,range,"['living rooms', 'living rooms', 'bath', 'bookshelf']"
cockpit,head,"['dishwasher', 'shaker', 'bus', 'aquarium']"
coffee,pot,"['dwelling', ""prostitute's bedroom"", 'restroom', 'backyard']"
coffee beans,dining room,"['bundle', 'belfry', 'card room', 'boot']"
coffee pods,closet,"['basement', 'barrel', 'counter', 'garbage']"
coffeemachine,kitchen,"['lobby', 'cup', 'floor', 'desk']"
coffeemaker,bathroom,"['art classroom', 'trap', 'cabin', 'hatbox']"
coffeetable,living room,"['shaker', 'carton', 'package', 'dresser']"
coil,machine,"['bath', 'utility room', 'class room', 'bathroom drawer']"
coke,can,"['bathtub', 'purse', 'bag', 'pantry room']"
cola,fridge,"['storage room', 'small room', 'machine', ""child's room""]"
collage,one of  classrooms,"['bag', ""cash's room"", 'bathtub', 'bookshelf']"
colored wood blocks,playroom,"['dungeon', 'bunk', 'living rooms', 'hive']"
column,table,"[""person's living room"", 'bedroom drawer', 'oven', ""child's room""]"
comb,hive,"['cradle', ""child's bedroom"", 'ir rooms', 'pod']"
comfort,home,"['shell', 'waiting room', 'packet', 'bathroom or kitchen']"
compass,backpack,"['bowl', 'press', 'pod', 'plate']"
compote,jar,"['garden', 'music room', 'hotel room', 'bright room']"
computer,cubicle,"['tank', 'palace', 'lobby', 'deck']"
condiment,bedroom,"['livin room', 'home', 'packet', 'court']"
condom,package,"['bathroom and kitchen', 'bicycle', 'exercise room', 'hospital drug storeroom']"
conserve,jar,"['one room flat', 'freezer', 'every bedroom', 'palace']"
container,car,"['broom closet', 'can', 'bathtub', 'castle']"
contraceptive,drawer,"['quiver', 'television room', 'basement', 'deck']"
cookbook,shelf,"['guest room', 'toolbox', 'art classroom', 'separate room']"
cookie,oven,"['loungeroom', 'card room', 'vault', 'loft']"
cooky,oven,"['pot', 'handbag', 'beehive', 'home']"
cooler,kitchen,"['television room', 'den', 'bus', 'bathroom drawer']"
copyholder,desk,"['palace', 'suitcase', 'bunk', 'bottle']"
cord,cabinet,"['home office', 'garden', 'basement', 'apartment']"
coronet,cabinet,"['machine', 'carton', 'classroom', 'delivery room']"
cosmetic,drawer,"['pitcher', 'exercise room', 'machine', 'cubicle']"
couch,cash's room,"['washer', 'desk', 'bar', 'lamp']"
countertop,bathroom,"['dwelling', 'beehive', 'sedan', 'pitcher']"
cracker,pantry,"['floor', 'laundry room', 'trap', 'aquarium']"
cracker box,childs room,"['jacket', 'broom closet', 'hatbox', 'washer']"
crate,kitchen,"['bedroom', ""teenager's bedroom"", 'suitcase', 'parlor']"
crayon,living room,"['cup', 'boot', 'bank', 'attic']"
creditcard,living room,"['independant room', 'case', 'can', 'ir rooms']"
crisp,table,"['refrigerator', 'childs room', 'mansion', 'bundle']"
crowbar,cabinet,"['belfry', 'range', 'parlor', 'bed']"
cube storage box,playroom,"['furniture', 'larder', 'independant room', 'living rooms']"
cubicle,bank,"['hospital drug storeroom', 'jacket', 'pan', 'garden']"
cup,dishwasher,"['waiting room', 'breadbox', 'room of house', 'laundry room']"
cupcake,oven,"['exercise room', 'television room', 'most rooms', 'cellar']"
curtain,kitchen,"['cellar', 'livingroom', 'livin room', 'wallet']"
cushion,storage room,"['larder', 'boot', 'pocket', 'freezer']"
custard,refrigerator,"['suitcase', 'band room', 'guest room', 'most rooms']"
cutlery,table,"['cradle', 'desk', 'backpack', 'shell']"
damper,attic,"['pod', 'stand', 'board', 'head']"
dashboard,car,"['court', 'motorbike', 'locker', 'quiver']"
decanter,bar,"['numerous modern washrooms', 'different room', 'boot', 'room']"
deck,backyard,"['can', 'living room', 'container', 'separate room']"
design,plate,"['wallet', 'attic', 'vault', 'hospital drug storeroom']"
desk,living room,"['packet', 'package', 'cruet', 'table']"
desk caddy,television room,"['sedan', 'loungeroom', 'class room', 'toaster']"
desklamp,bedroom,"['microwave', 'dresser', 'desk', 'vault']"
desktop,bedroom,"['lobby', 'ballroom', 'basement', 'floor']"
dessert,refrigerator,"['belfry', 'oven', 'deck', 'utility room']"
diaper pack,lobby,"['hatbox', 'bus', 'shoe', 'wardrobe']"
diary,desk,"['den', 'library', 'drawer', 'bath']"
dictionary,table,"['home office', 'barrel', 'music room', 'suitcase']"
dietary supplement,playroom,"['bookshelf', 'study', 'dimly lit room', 'loft']"
dime,purse,"['bathtub', 'room of house', 'mansion', 'aquarium']"
diningtable,living room,"['bunk', 'camp', 'anor room', 'music room']"
dinner,table,"['middle of  room', 'chest', 'cabinet', ""children's room""]"
dish,sink,"['livin room', 'chest', 'hive', 'band room']"
dish drainer,playroom,"['cradle', 'automobile', 'barrel', 'dresser']"
dishsponge,bathroom,"['separate room', 'way', 'class room', 'wallet']"
dishtowel,dining room,"['sedan', 'chamber', 'trunk', 'orchestra']"
dishwasher,apartment,"['locker', 'jar', 'cabinet', 'castle']"
dispensing closure,pantry room,"['delivery room', 'guest room', 'shell', 'waiting room']"
document,suitcase,"['bath', 'pocket', 'storage room', 'hospital drug storeroom']"
dog bowl,dining room,"['glass', 'basket', 'bathtub', 'pocket']"
dog chew toy,exercise room,"['oven', 'counter', 'oven', 'desk']"
dogbed,living room,"['lobby', 'ambulance', 'bottle', 'freezer']"
dollhouse toy,garage,"['broom closet', 'pantry', 'carton', 'livingroom']"
donut,home office,"['delivery room', 'suitcase', 'oven', 'parlor']"
door,apartment,"['purse', 'pantry', 'range', 'bright room']"
doughnut,fridge,"['home', 'hotel room', 'bag', 'furniture']"
drawer,dresser,"['stand', 'jacket', 'locker', 'stand']"
dress,closet,"['bowl', 'cradle', 'purse', 'most rooms']"
dresser,home,"[""person's living room"", 'lobby', 'parlor', 'laundry room']"
dressing,refrigerator,"['cellar', 'class room', 'motel room', 'foyer']"
drill,basement,"['tank', 'pan', ""child's room"", 'small room']"
drink,can,"['belfry', 'chest', 'boot', 'bathroom']"
drink coaster,closet,"['stand', 'dormroom', 'pocket', 'hotel room']"
driveway,car,"['deck', 'garden', 'room of house', 'lamp']"
drum,child's room,"['case', 'sack', 'boat', 'cradle']"
dryer,basement,"['board', 'corridor', 'shaker', 'class room']"
duck,oven,"['carton', 'deck', 'court', 'board']"
duct,house,"['mansion', 'hotel room', 'cruet', 'dishwasher']"
duct tape,corridor,"['container', 'sofa', 'safe', 'bed']"
dumbbell,bedroom,"['stove', 'jar', 'court', 'table']"
dumbbell rack,storage room,"['pitcher', 'library', 'car', 'tin']"
dungeon,basement,"['hall', 'bedroom drawer', 'bed', 'trunk']"
dustbin,kitchen,"['package', ""prostitute's bedroom"", 'stand', 'garage']"
dustpan and brush,closet,"['way', 'machine', 'spoon', 'dwelling']"
dutch oven,kitchen,"['automobile', 'bathroom or kitchen', 'mailbox', 'dimly lit room']"
duvet,living room,"['dumpster', 'lounge', 'middle of  room', 'cradle']"
easter basket,kitchen,"['den', 'delivery room', 'suitcase', 'bundle']"
edible,plate,"['trap', 'pod', 'loft', 'hamper']"
egg,kitchen,"['one room flat', 'ballroom', 'washer', 'independant room']"
eggplant,oven,"['furniture', 'orchestra', 'exercise room', 'kitchen']"
electric heater,closet,"['orchestra', 'toaster', 'dwelling', 'package']"
electric toothbrush,exercise room,"['tin', 'motorbike', 'art classroom', 'freezer']"
electronic adapter,bedroom,"['bag', 'machine', 'board', 'case']"
electronic cable,dining room,"['packet', 'bed', 'band room', 'tea room']"
elevator,apartment,"['quiver', 'hive', 'bus', 'briefcase']"
emperor,palace,"['small room', 'basement', 'tea room', 'utility room']"
encyclopedia,library,"['container', 'butt', 'grand ballroom', 'separate room']"
engraving,plate,"['pantry', 'bath', 'corridor', 'toolbox']"
envelope,drawer,"['backyard', 'bay', ""children's room"", ""teenager's bedroom""]"
face moisturizer,pantry room,"['sofa', 'drawer', 'every room', 'boat']"
faucet,restroom,"[""child's room"", 'bunk', 'dwelling', 'one room flat']"
fiberglass,boat,"['bookshelf', 'mailbox', 'bath', 'well']"
figurine,cabinet,"['house', 'room', 'home', 'bank']"
file sorter,childs room,"['boat', 'den', 'shelf', 'purse']"
film,drawer,"['hamper', 'kitchen or bathroom', 'box', 'fridge']"
fingerpaint,exercise room,"['briefcase', 'bicycle', 'independant room', 'bus']"
fire,basement,"['car', 'television room', 'every room', 'bathroom or kitchen']"
firearm,cabinet,"['castle', 'jar', 'shelf', 'castle']"
fireplace,family room,"['refrigerator', 'home office', 'chest', 'locker']"
fish,boat,"['board', 'cat', 'icebox', 'pocket']"
fitness tracker wristband,storage room,"['shelf', 'toaster', 'pan', 'beehive']"
flag,classroom,"['childs room', 'every room', 'keg', 'desk']"
flashlight,utility room,"[""men's restroom"", 'ballroom', 'cruet', 'carton']"
flat screwdriver,closet,"['suitcase', 'car', 'oven', 'bathroom cabinet']"
floor,kitchen,"['automobile', 'shell', 'side of  room', 'foyer']"
floorlamp,living room,"['well', 'furniture', 'childs room', 'bay']"
flour,kitchen,"['deck', 'bowl', 'cat', 'cellar']"
foam brick,storage room,"['ballroom', 'bunk', 'bank', 'tank']"
folder,utility room,"['loft', 'furniture', 'barrel', 'bag']"
fondant,dining room,"['bank', 'carton', 'house', 'engine']"
food,fridge,"['art classroom', 'ambulance', 'most rooms', 'laundry room']"
foot,shoe,"['storage room', 'one of  classrooms', 'lounge', 'microwave']"
footstool,bathroom,"['icebox', 'beehive', 'container', 'loft']"
foresail,boat,"['bag', 'living rooms', 'hamper', 'jar']"
fork,dining room,"['cup', 'bathroom or kitchen', 'bookshelf', 'livin room']"
form,cabinet,"['ambulance', 'playroom', ""men's restroom"", 'attic']"
foundation,closet,"['sedan', 'plate', 'one of  classrooms', 'shoe']"
foyer,home,"['bunk', 'most rooms', 'shaker', 'middle of  room']"
frame,bed,"['range', 'bowl', 'cruet', 'cradle']"
freezer,kitchen,"['suitcase', 'breadbox', 'room of house', 'dormroom']"
fridge,kitchen,"['backyard', 'drawer', 'library', ""person's living room""]"
frosting,jar,"['bunk', 'garage', 'aquarium', 'dumpster']"
fruit,pantry,"['motel room', 'wardrobe', 'freezer', 'room']"
fruit snack,dining room,"['trunk', 'different room', 'suitcase', 'cup']"
fur,cat,"['orchestra', 'classroom', 'car', 'carton']"
furnace,home,"['way', 'automobile', 'bag', 'pantry']"
furniture,floor,"['castle', 'deck', 'bathroom and kitchen', 'boat']"
galley,boat,"['chest', ""person's living room"", 'bright room', 'can']"
garage,home,"['counter', 'bicycle', 'handbag', 'broom closet']"
garbage,floor,"['sink', 'sedan', 'every bedroom', 'butt']"
garbagebag,kitchen,"['garbage', 'anor room', 'castle', 'separate room']"
garbagecan,bedroom,"['pod', ""cash's room"", 'guest room', 'basement']"
garlic,kitchen,"['every room', 'bowl', 'lobby', 'lamp']"
garment,suitcase,"['small room', 'stand', 'purse', 'master bedroom']"
garter,drawer,"['pot', 'cradle', 'safe', 'cabin']"
gas,boat,"['independant room', 'keg', 'dining room', 'art classroom']"
gate,apartment,"['cat', 'engine', 'attic', 'jacket']"
gauze,cabinet,"['ir rooms', 'quiver', 'icebox', 'band room']"
gear,car,"['kitchen or bathroom', 'exercise room', 'room of house', 'bicycle']"
gel,container,"['bed', 'locker', 'table', 'way']"
gelatin box,pantry room,"['dresser', 'cabin', 'separate room', ""teenager's bedroom""]"
gin,bar,"['teapot', 'deck', 'library', ""teenager's bedroom""]"
glove,utility room,"['board', ""teenager's bedroom"", 'can', 'jar']"
golf ball,kitchen,"['briefcase', 'keg', 'ambulance', 'palace']"
goose,oven,"['family room', 'refrigerator', 'pantry room', 'bath']"
graphics card,pantry room,"['pocket', 'restroom', 'kitchen or bathroom', 'stove']"
guard,room,"['cup', 'hive', 'bank', 'court']"
guinness,bar,"[""child's bedroom"", 'card room', 'cat', 'hive']"
gun,home,"['bundle', 'kitchen or bathroom', 'table', 'exercise room']"
hair color,garage,"['broom closet', 'kitchen or bathroom', 'classroom', 'guest room']"
hair conditioner,utility room,"['table', 'bike', 'pitcher', 'middle of  room']"
hair dryer,playroom,"['pod', 'bag', 'castle', 'bunk']"
hair straightener,playroom,"['band room', 'cabinet', 'garden', ""teenager's bedroom""]"
ham,fridge,"['sofa', 'dimly lit room', ""child's bedroom"", 'motorbike']"
hammer,closet,"[""child's room"", 'middle of  room', 'shoe', 'purse']"
hand,pocket,"['foyer', 'livingroom', 'automobile', ""cash's room""]"
hand bell,television room,"['head', 'bay', 'fridge', 'bar']"
handbag,television room,"['bag', 'trunk', 'pan', 'pocket']"
handset,cradle,"['chest', 'independant room', 'backpack', 'sink']"
handtowel,bathroom,"['purse', 'motorbike', 'trunk', 'library']"
handtowelholder,bathroom,"['band room', 'bus', 'waiting room', ""teenager's bedroom""]"
harbor,boat,"['art classroom', 'counter', 'corridor', 'cup']"
hard drive,pantry room,"['chest', 'bed', 'bay', 'dishwasher']"
hard drive case,bedroom,"[""prostitute's bedroom"", 'pantry', 'schoolroom', 'pitcher']"
hardware,packet,"['ir rooms', 'bright room', 'pitcher', 'cubicle']"
hat,garage,"['belfry', 'band room', 'container', 'glass']"
headlight,car,"['one of  classrooms', 'boat', 'pod', 'one room flat']"
headphone,corridor,"['wardrobe', 'bank', 'pot', 'boot']"
heater,automobile,"['table', 'dormroom', 'microwave', 'cruet']"
heavy duty gloves,bathroom,"['numerous modern washrooms', 'range', 'way', 'aquarium']"
heavy master chef can,exercise room,"['guest room', 'package', 'oven', 'palace']"
hedge,backyard,"['lamp', 'hospital drug storeroom', 'art classroom', 'package']"
helmet,lobby,"['engine', 'garbage', 'bowl', 'every room']"
herring,jar,"['safe', 'independant room', 'board', 'bunk']"
herring fillets,home office,"['pocket', 'board', 'floor', 'hamper']"
holdall,closet,"['sink', 'engine', 'tea room', 'lamp']"
honey,jar,"['apartment', ""child's bedroom"", 'head', 'grand ballroom']"
honey dipper,lobby,"['handbag', 'counter', 'guest room', 'packet']"
horn,truck,"['one room flat', 'dining room', 'livingroom', 'ambulance']"
house,bedroom,"['box', 'orchestra', 'sedan', 'bathtub']"
houseplant,kitchen,"[""child's bedroom"", 'art classroom', 'tin', 'vault']"
icecream,freezer,"[""person's living room"", 'teapot', 'motel room', 'room of house']"
incontinence pads,living room,"['palace', 'hamper', 'bike', 'glass']"
ingredient,kitchen,"['hive', 'cradle', 'aquarium', 'bedroom']"
ink cartridge,corridor,"['bedroom drawer', 'plate', ""prostitute's bedroom"", 'cubicle']"
instant camera,bathroom,"['lounge', 'breadbox', 'freezer', 'glass']"
invitation card,lobby,"['bathroom cabinet', ""children's room"", ""teenager's bedroom"", 'locker']"
ipod,apartment,"['jacket', 'toaster', 'backpack', 'kitchen or bathroom']"
jack,trunk,"['trap', 'case', 'sedan', 'desk']"
jacket,closet,"['dormroom', 'loft', 'orchestra', 'bright room']"
jam,jar,"['fridge', 'place', 'hamper', ""child's room""]"
jar,storage room,"['orchestra', 'broom closet', 'class room', ""child's room""]"
jean,closet,"['anor room', 'press', 'guest room', 'washer']"
jenga,corridor,"['furniture', 'jar', 'den', 'foyer']"
jewelry,safe,"['press', 'pot', 'pocket', 'pan']"
jewelry box,television room,"['teapot', 'belfry', 'press', 'sink']"
john,bathroom,"['music room', 'cradle', 'bathroom or kitchen', ""person's living room""]"
joist,basement,"['case', 'playroom', 'bar', 'beehive']"
journal,library,"['orchestra', 'boat', 'hotel room', 'trap']"
juice,refrigerator,"['cabin', 'dimly lit room', 'stove', 'bathroom cabinet']"
jukebox,bar,"['drawer', 'bundle', ""person's living room"", 'bus']"
junk,cellar,"['room of house', 'mansion', 'bag', 'dishwasher']"
kettle,kitchen,"['ballroom', 'sofa', 'bay', 'range']"
keyboard,living room,"['card room', 'numerous modern washrooms', 'guest room', 'dishwasher']"
keychain,bedroom,"['waiting room', 'boat', 'cubicle', 'dining room']"
kitchen,breadbox,"[""men's restroom"", 'cup', 'band room', 'stand']"
kitchenette,house,"['cabin', 'trap', 'bottle', 'basket']"
knife,corridor,"['dimly lit room', ""child's room"", 'hotel room', 'refrigerator']"
knife block,utility room,"['bar', 'foyer', 'independant room', 'cabinet']"
labeling tape,pantry room,"['table', 'sack', 'shell', 'attic']"
ladle,kitchen,"['bathroom and kitchen', 'can', 'pitcher', 'packet']"
lamb,oven,"['bathroom drawer', 'one room flat', 'cup', 'pan']"
lame,loft,"['table', 'hatbox', 'shoe', 'lamp']"
lamp,utility room,"[""prostitute's bedroom"", 'bathroom or kitchen', 'safe', 'bath']"
lantern,corridor,"['sack', 'bathroom cabinet', 'shaker', 'motel room']"
laptop,storage room,"['bar', 'bathroom or kitchen', 'lounge', 'study']"
laptop cover,living room,"['cellar', 'one room flat', 'garbage', 'tank']"
laptop stand,television room,"['carton', 'livin room', 'boat', 'cradle']"
large marker,garage,"['room of house', 'one of  classrooms', 'briefcase', 'attic']"
lasagna,plate,"['furniture', 'independant room', 'stove', 'way']"
laundry,kitchen,"['locker', 'bar', 'pantry', 'deck']"
laundry box,childs room,"['automobile', 'cubicle', 'bookshelf', 'lamp']"
laundryhamper,bedroom,"['boat', 'well', 'pot', 'livin room']"
laxative,home office,"['library', 'safe', 'bathtub', 'hall']"
lego duplo,living room,"['family room', 'floor', 'ambulance', 'livin room']"
lemon,dining room,"['bag', 'cabinet', 'counter', 'washer']"
letter holder,bathroom,"['lounge', 'loungeroom', 'every bedroom', 'bed']"
lettuce,kitchen,"['purse', 'motel room', 'stove', 'jar']"
library,room,"['fridge', 'ballroom', 'range', 'pocket']"
lid,drawer,"['lobby', 'range', 'shoe', 'home']"
lifeboat,boat,"['every bedroom', 'refrigerator', 'bathroom drawer', 'keg']"
light,attic,"['cup', 'boat', 'master bedroom', 'exercise room']"
light bulb,closet,"['microwave', 'card room', 'bottle', 'trunk']"
lightswitch,bathroom,"['mailbox', 'ballroom', 'shoe', 'machine']"
