recipe_id,name,hands,tongs,knife,fork,skewer,chopsticks,spoon,dinner plate,dessert plate,bowl,coupe plate
01463f9160,Eggplant Curry (Indian),2,0,14,22,0,1,37,7,1,30,6
2ebf72f9aa,"Eggs with Chickpeas, Spinach, and Tomato",1,0,25,37,1,0,12,21,1,13,9
3705ac9921,Brazilian Seafood Stew,6,0,8,14,0,0,39,4,1,30,9
08e50a3281,Asparagus and Artichoke Pasta Salad,1,1,18,42,1,4,6,14,1,19,11
1c15644675,Chocolate Chip Cranberry Muffins,36,1,3,12,0,0,8,0,40,2,3
398c902781,Baklava,13,0,11,23,1,0,14,2,39,4,1
2348fc335a,Linguine Pasta with Shrimp and Tomatoes,3,0,14,42,1,3,13,13,0,16,17
1cf0c57457,Sloppy Joes with Cornbread,22,1,24,31,0,0,7,31,3,4,8
2bb5da2786,Chillaquillas,24,0,17,26,0,1,8,21,1,8,15
393d0b8979,Deep-Fried Plantain Rounds,23,1,12,28,0,1,5,15,15,6,10
0b2eea8f10,Ranch and Avocado Pasta Salad,0,0,16,41,2,1,8,7,1,22,16
1080a4a1ac,Roasted Tomato Soup,0,0,1,0,1,0,46,1,0,44,2
2bee72b587,Mushrooms & Scrambled Eggs on Toast,21,1,27,33,0,0,4,33,5,1,8
175a7231fd,Baked Acorn Squash with Fruit,6,2,16,32,1,2,21,16,15,10,7
00dd1ed230,Sea Bass with Gingered Vegetable Stir-Fry,1,0,32,41,0,9,9,30,1,7,10
270ae62fb8,Rhubarb Bread Pudding,3,0,5,17,0,0,35,3,29,14,2
09c244bde4,Green Tomato Pie,12,0,16,33,0,1,20,16,27,2,3
09a52313c0,Classic Chili,1,0,7,19,0,0,41,9,0,32,7
12816a9dd7,Pad Thai with Kale,0,1,3,35,1,32,6,6,0,35,7
069e265c7c,Korean-Style Cucumber Kimchi,2,0,7,33,0,24,10,6,6,21,14
1081a588b3,BBQ Oysters,33,4,9,24,1,1,5,20,6,5,17
0d589390ed,Spicy Sausage Ragu With Red Peppers,8,1,26,41,0,4,10,23,1,12,11
2ee381e95e,Garlic and Red Pepper Broccoli,3,1,19,40,0,10,12,21,5,12,10
2599f38b28,Tropical Coleslaw,0,0,5,37,1,4,21,5,6,30,6
0d8a3b91d6,Middle Eastern Fava Bean Stew,1,0,3,13,0,1,43,4,0,37,7
227cfa75b3,Linguine With Sausage and Mushrooms,1,1,13,46,1,8,9,15,3,8,22
37a3f24a5f,Grilled Octopus with Ancho Chile Sauce,5,2,33,43,1,9,7,31,3,2,12
20cdfd7571,Chicken Wings with Salsa Verde,42,1,18,27,0,2,2,32,3,3,10
36ef87c1a7,Banh Mi (Vietnamese Pulled Pork Sandwich),40,0,11,13,1,2,2,32,6,1,9
0fe8c7489a,Veggie Pizza,42,0,16,17,0,0,0,43,3,1,1
02fc3692ea,Blueberry French Toast,30,1,27,30,0,0,1,25,21,1,3
0caa4dc535,Baked Noodles and Eggplant,2,1,17,43,0,19,9,14,4,18,13
34a6414348,Roasted Rosemary Turkey Breast,4,1,45,46,0,0,0,47,0,1,0
29aabb538d,Baked Carrots,6,1,26,44,0,2,2,20,8,12,8
34b7f90b46,Dal With Chicken,7,0,21,34,0,0,33,11,2,22,15
19c8b7c8e4,Apple Walnut Cake,10,1,9,35,0,0,16,2,47,0,1
3618794ab1,Grilled Peaches with Cinnamon Ice Cream,1,0,3,16,0,0,46,0,21,26,3
1e1c9e108e,Chili Prawn and Tomato Spaghetti,1,1,11,47,1,5,19,17,1,12,20
042c2b50aa,Corn on the Cob with Cheese and Lime,40,0,3,3,13,0,1,31,8,4,7
1e0908d46e,Brownies,31,0,3,25,0,2,16,1,43,4,2
23b505ee13,"Soft-Shell Crabs, With Lime Sauce",33,4,17,25,1,3,3,33,1,6,10
0c2332916d,Beef Stew with Dried Mushrooms,3,0,16,29,2,2,36,14,1,26,7
21f86458d7,Indian Spiced Shrimp,18,2,13,34,3,4,14,27,2,7,14
2c3f8bf1b5,Stuffed Green Bell Peppers,9,1,35,37,0,3,9,38,4,3,5
399fe21860,Herbal Tuna Salad,1,0,14,45,0,3,9,13,3,23,11
122f10c90f,Sweet and Sour Pork,5,0,29,41,1,13,9,32,1,4,12
04b3ffa317,Caramel Oatmeal Bars,42,0,2,5,0,0,4,1,42,7,0
01922d14e3,Snapper in Black Sauce,2,1,38,40,1,3,10,34,2,5,9
068e60fac9,American Potato Salad,0,1,16,40,0,2,13,20,2,22,6
3d6f880ebe,Chicken Piccata,1,0,43,48,1,3,6,39,0,4,7
30fae073b2,Creamy Baked Mac and Cheese,2,0,10,45,1,1,16,21,3,21,5
03c81746a1,Chicken & Broccoli Cannelloni,1,0,31,48,0,2,7,32,1,5,12
0009785a2e,"Rice With Lemon, Capers & Parsley",2,0,11,34,0,3,27,25,0,16,9
26e292827c,Ham and Asparagus Pie,8,1,35,42,0,0,6,38,6,1,5
2ef8454942,Cauliflower in Chilli Butter Sauce,3,2,26,41,2,1,12,26,2,10,12
2ceee28ee8,Fruit and Veggie Couscous,2,0,5,38,1,2,25,11,2,27,10
064d9a5eb8,Chicken Fingers with Tomato-Jalapeno Sauce,34,0,15,29,0,2,6,32,6,6,6
07385b7851,Chocolate Caramel Cake,5,0,4,37,0,0,21,0,46,3,1
2202fef139,Mash Potatoes,0,0,4,33,0,0,26,26,2,16,6
2cc68868b2,Tom Kha Gai (Thai Spicy Coconut Soup),2,1,1,7,1,9,49,0,1,47,2
227cafe767,Black Bean Chili,2,1,5,11,0,0,41,6,2,38,4
27c5efde30,Lemon Garlic Salmon,3,0,38,48,0,1,2,42,2,2,4
2f716e9bd2,Heirloom Tomato Salad with Basil Vinaigrette,0,3,15,43,0,1,9,12,1,21,15
09f37edcfc,Quinoa Veggie Burgers,42,0,15,16,1,1,0,38,4,2,5
