task,hardware_config,model_answer,correct_answer
carry a remote to the ottoman,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
carry a remote to the ottoman,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
carry a tennis racket while turning on a light,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
carry a tennis racket while turning on a light,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
carry a vase while turning on a lamp,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
carry a vase while turning on a lamp,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
carry a watch while turning on a lamp,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
carry a watch while turning on a lamp,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
change sheets on bed,The robot has 2 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
change sheets on bed,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
change the position of the cup on the cup holder,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
change the position of the cup on the cup holder,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
change the position of the donut on the counter,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
change the position of the donut on the counter,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
change the position of the marker to face across the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
change the position of the marker to face across the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
change the position of the object and put it horizontally along the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
change the position of the object and put it horizontally along the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
change the position of the object in the orange bowl,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
change the position of the object in the orange bowl,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
change toothbrush,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
change toothbrush,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
change tv channel,The robot has 2 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
change tv channel,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
check appearance in mirror,The robot has 2 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
check appearance in mirror,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill a clear bowl in the fridge to put on the kitchen counter.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
chill a clear bowl in the fridge to put on the kitchen counter.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill a cooked slice of potato,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
chill a cooked slice of potato,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill a cup and place it in the lower cupboard,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
chill a cup and place it in the lower cupboard,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill a cup and place it in the microwave.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
chill a cup and place it in the microwave.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill a cup in a refrigerator.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
chill a cup in a refrigerator.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill a cup to microwave it.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
chill a cup to microwave it.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill a pan from the stove in the fridge to put on the white table.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
chill a pan from the stove in the fridge to put on the white table.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill a plate and put it away in a cabinet.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
chill a plate and put it away in a cabinet.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill a pot and place in a sink drawer,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
chill a pot and place in a sink drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
chill the bowl and set it back on the shelves.,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
chill the bowl and set it back on the shelves.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
chill the glass in the fridge and return it to the shelf.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
chill the glass in the fridge and return it to the shelf.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill the goblet and put it in the sink.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
chill the goblet and put it in the sink.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chill the mug and put it in the cupboard.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
chill the mug and put it in the cupboard.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
chill the pan and put it back on the stove.,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
chill the pan and put it back on the stove.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
chill the pan in the fridge and put it in the sink.,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
chill the pan in the fridge and put it in the sink.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
chilling of a heated tomato,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
chilling of a heated tomato,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
chop the cucumber into shreds,The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
chop the cucumber into shreds,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
clean a glass and put it on the shelf,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
clean a glass and put it on the shelf,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
clean inside the thermos flask using the bottle brush,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
clean inside the thermos flask using the bottle brush,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
clean mirror,The robot has 2 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
clean mirror,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
clean the chopping board,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
clean the chopping board,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
clean the dirty towel on the metal rack.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
clean the dirty towel on the metal rack.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
clean the flask using the white stick inside it,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
clean the flask using the white stick inside it,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
clean the laptop screen,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
clean the laptop screen,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
clean the lettuce to place on the counter in front of the coffee machine.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
clean the lettuce to place on the counter in front of the coffee machine.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
clean the plate with the towel and move it a bit,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
clean the plate with the towel and move it a bit,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
"clean the rag on the right, put it on the toilet lid.",The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
"clean the rag on the right, put it on the toilet lid.",The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
clean the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
clean the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
clean the tabletop with a sponge,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
clean the tabletop with a sponge,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
cleaning off a dirty spatula.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
cleaning off a dirty spatula.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
click on the bottom right button on the board,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
click on the bottom right button on the board,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close a cardboard box with keys inside.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
close a cardboard box with keys inside.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
close dresser drawer,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
close dresser drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the bin cover,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the bin cover,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the black object,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the black object,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the black slider on the top of the cup,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the black slider on the top of the cup,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the bowl,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the bowl,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the box on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the box on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the chest drawer,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the chest drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the cube,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the cube,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the cupboard,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the cupboard,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the cupboard door,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the cupboard door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the door,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the door of the oven,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the door of the oven,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the door to the white box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
close the door to the white box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the drawer on the right side of the microwave,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the drawer on the right side of the microwave,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the faucet,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the faucet,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the faucet then open it again,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the faucet then open it again,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the file cabinet door,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the file cabinet door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the fire department valve door,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
close the fire department valve door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the flip phone shut,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the flip phone shut,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the food pack,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the food pack,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the grey coffeemaker,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the grey coffeemaker,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the laptop,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the laptop,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the laptop on the table,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
close the laptop on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the left door,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the left door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the lid of the colourless box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the lid of the colourless box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the lid of the machine beside the microwave,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the lid of the machine beside the microwave,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the lid on the black and yellow case,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the lid on the black and yellow case,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the lid on the box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the lid on the box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the lid on the clear container on the left then turn on the extension cable,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
close the lid on the clear container on the left then turn on the extension cable,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the microwave,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the microwave,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the middle shelf completely,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the middle shelf completely,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the notebook,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the notebook,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the object,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the object,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the open black book,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the open black book,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the open book,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the open book,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the open book on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the open book on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the open door,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the open door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the open drawer and then open it again,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the open drawer and then open it again,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the open drawer under the keyboard,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the open drawer under the keyboard,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the pack with bottles on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the pack with bottles on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the pan,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the pan,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the plastic packaging,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the plastic packaging,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the rice cooker,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the rice cooker,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the second washing machine,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the second washing machine,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the shelf door,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the shelf door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the silver container,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the silver container,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the silver container next to the coffee maker,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the silver container next to the coffee maker,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the take-away food container,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the take-away food container,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the top on the coffee maker,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the top on the coffee maker,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the top opening of the silver jar,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the top opening of the silver jar,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the topmost compartment doors,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the topmost compartment doors,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the trash can,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the trash can,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the trash can lid,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
close the trash can lid,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
close the upper drawer of the cabinet on the left,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
